Question,Detected Answer,Correct Answer,Remark,Confidence
1,1318,1318,Correct,Manually Corrected
2,1779,1779,Correct,Manually Corrected
3,2189,2189,Correct,Manually Corrected
4,812,812,Correct,Manually Corrected
5,1922,1922,Correct,Manually Corrected
6,2073,2073,Correct,Manually Corrected
7,637,637,Correct,Manually Corrected
8,1813,1813,Correct,Manually Corrected
9,2188,2188,Correct,Manually Corrected
10,1525,1525,Correct,Manually Corrected
11,2640,2460,Wrong,Manually Corrected
12,1419,1419,Correct,Manually Corrected
13,1816,1186,Wrong,Manually Corrected
14,1555,1555,Correct,Manually Corrected
15,2604,2604,Correct,Manually Corrected
16,1034,1034,Correct,Manually Corrected
17,1489,1489,Correct,Manually Corrected
18,2968,2968,Correct,Manually Corrected
19,1431,1431,Correct,Manually Corrected
20,1163,1163,Correct,Manually Corrected
21,1201,1201,Correct,Manually Corrected
22,2273,2273,Correct,Manually Corrected
23,672,672,Correct,Manually Corrected
24,1565,1655,Wrong,Manually Corrected
25,1869,1869,Correct,Manually Corrected
26,966,966,Correct,Manually Corrected
27,1512,1512,Correct,Manually Corrected
28,1764,1764,Correct,Manually Corrected
29,1024,1024,Correct,Manually Corrected
30,905,905,Correct,Manually Corrected
31,1982,1982,Correct,Manually Corrected
32,1039,1039,Correct,Manually Corrected
33,1968,1968,Correct,Manually Corrected
34,1956,1956,Correct,Manually Corrected
35,1331,1331,Correct,Manually Corrected
36,1456,1456,Correct,Manually Corrected
37,942,942,Correct,Manually Corrected
38,685,685,Correct,Manually Corrected
39,1068,1086,Wrong,Manually Corrected
40,1947,1947,Correct,Manually Corrected
41,1328,1328,Correct,Manually Corrected
42,869,869,Correct,Manually Corrected
43,2502,2502,Correct,Manually Corrected
44,2463,2463,Correct,Manually Corrected
45,752,752,Correct,Manually Corrected
46,2995,2995,Correct,Manually Corrected
47,3016,3016,Correct,Manually Corrected
48,1414,1414,Correct,Manually Corrected
49,2578,2578,Correct,Manually Corrected
50,2175,2175,Correct,Manually Corrected
51,1437,1437,Correct,Manually Corrected
52,1621,1621,Correct,Manually Corrected
53,1216,1126,Wrong,Manually Corrected
54,2406,2064,Wrong,Manually Corrected
55,1919,1919,Correct,Manually Corrected
56,1897,1897,Correct,Manually Corrected
57,2099,2093,Wrong,Manually Corrected
58,1896,1796,Wrong,Manually Corrected
59,2415,2415,Correct,Manually Corrected
60,1259,1259,Correct,Manually Corrected
